Date,Open,High,Low,Close,Volume,gap_return,gap_up,intraday_return,intraday_up,kospi_ret_lag_1,kospi_ret_lag_2,kospi_ret_lag_3,kospi_ret_lag_5,kospi_ret_lag_10,kospi_mom_5,kospi_vol_5,kospi_ma_dist_5,kospi_mom_10,kospi_vol_10,kospi_ma_dist_10,kospi_mom_20,kospi_vol_20,kospi_ma_dist_20,kospi_mom_60,kospi_vol_60,kospi_ma_dist_60,kospi_prev_gap,kospi_prev_intraday,kospi_prev_range,day_of_week,month,nasdaq_level,nasdaq_ret1,nasdaq_ret5,nasdaq_vol20,nasdaq_age_days,sox_level,sox_ret1,sox_ret5,sox_vol20,sox_age_days,sp500_level,sp500_ret1,sp500_ret5,sp500_vol20,sp500_age_days,us10y_level,us10y_ret1,us10y_ret5,us10y_vol20,us10y_age_days,us2y_level,us2y_ret1,us2y_ret5,us2y_vol20,us2y_age_days,usdk_rw_level,usdk_rw_ret1,usdk_rw_ret5,usdk_rw_vol20,usdk_rw_age_days,vix_level,vix_ret1,vix_ret5,vix_vol20,vix_age_days
2024-12-19,2426.55,2450.05,2423.59,2435.93,504189059,-0.023297094303320942,0.0,0.0038655704601180396,1.0,0.01124222060313973,-0.012921007485023894,-0.0022008771437506125,0.01621692439334943,-0.008989448051948123,0.017162672824266645,0.01146701575693437,0.0012380317551918818,0.008291396103895954,0.015479413651059325,0.014147025050892381,0.0008621071671721658,0.013417865289021844,0.0055058510797603155,-0.04200711815128577,0.01211738678201541,-0.02040682749743672,0.002543949267546086,0.008676199524169093,0.011877190340319291,3.0,12.0,19392.689453125,-0.03562429443583959,-0.032054139146317384,0.011031709030227668,1.0,4970.97998046875,-0.03845611854476838,-0.011301130996857922,0.019390521654711095,1.0,5872.16015625,-0.02949284635160343,-0.03484930404839448,0.008013587156556227,1.0,4.5,0.022727272727272707,0.05633802816901423,0.012667268563036072,1.0,4.35,0.0235294117647058,0.04819277108433728,0.01266921845663985,1.0,1436.4200439453125,0.0035421584139823103,0.0017225794885091794,0.0054386444076950325,1.0,27.6200008392334,0.7403907396600702,1.0338734163774395,0.1727476118538407,1.0
2024-12-20,2429.63,2430.69,2389.86,2404.15,617406479,-0.002586281214977282,0.0,-0.010487193523293636,0.0,-0.019521580402748318,0.01124222060313973,-0.012921007485023894,0.004971556572607394,-0.005606404979830892,-0.018609092227611868,0.012610131006485727,-0.01463925699399704,-0.002424391342629617,0.016550851771809823,-0.005410380041327989,-0.018019615984649184,0.014120663829607654,-0.01323062427109234,-0.06382757944819595,0.012347332425605697,-0.0384806294264568,-0.023297094303320942,0.0038655704601180396,0.010650330256839612,4.0,12.0,19372.76953125,-0.0010271871739683247,-0.026632898453757825,0.011030702795987885,1.0,4893.47021484375,-0.015592451776015981,-0.017807375392327685,0.019661539074144262,1.0,5867.080078125,-0.0008651123249070469,-0.030435021173311316,0.008013879677719053,1.0,4.57,0.015555555555555545,0.05787037037037046,0.013048453385813034,1.0,4.32,-0.006896551724137834,0.03349282296650724,0.012626123480733437,1.0,1451.5,0.010498291302917462,0.015638648990053294,0.0057760211003549155,1.0,24.09000015258789,-0.1278059587033482,0.7306034497523941,0.1765612589726348,1.0
2024-12-23,2423.36,2446.97,2413.62,2442.01,427733262,0.007990350019757564,1.0,0.0076959263171794134,1.0,-0.013046351906663922,-0.019521580402748318,0.01124222060313973,-0.0022008771437506125,-0.027831773853452813,-0.0362042285705122,0.012080953630535211,-0.02033692765207662,-0.009888145756457467,0.016986414466612546,-0.017422898666819342,-0.03881674689354064,0.014201713131020526,-0.024185419179364342,-0.08645808000972754,0.012333711671783085,-0.049602339002508544,-0.002586281214977282,-0.010487193523293636,0.01676156539802044,0.0,12.0,19572.599609375,0.010314997956417882,-0.017771167620895367,0.011217467430533,3.0,4964.91015625,0.014599034686988643,-0.035898550349496294,0.019599308682247883,3.0,5930.85009765625,0.010869123768910471,-0.019870758689518042,0.008311892805041438,3.0,4.52,-0.010940919037199293,0.027272727272727115,0.013337440012453133,3.0,4.3,-0.004629629629629761,0.0117647058823529,0.012564955993894428,3.0,1437.449951171875,-0.009679675389683062,0.006716320870880921,0.006331966933786637,3.0,18.360000610351562,-0.23785801186974165,0.3294714013383897,0.1861572068656935,3.0
2024-12-24,2450.55,2452.85,2432.42,2440.52,386541822,0.0034971191764161524,1.0,-0.004092958723551976,0.0,0.015747769481937457,-0.013046351906663922,-0.019521580402748318,-0.012921007485023894,0.024256750459632936,-0.018867242272907925,0.01600147941283518,-0.0010864469829415802,0.03449575951672901,0.014740484112502821,-0.005260042779345664,-0.03643157587379753,0.014352881667822705,-0.00695777351247584,-0.05943412214210886,0.012427351514062346,-0.033653224991081365,0.007990350019757564,0.0076959263171794134,0.0138718465985899,1.0,12.0,19764.880859375,0.00982400160619945,-0.020274213498418847,0.011366570435632639,1.0,5118.75,0.030985423483714136,-0.026124141859689254,0.020762810201540353,1.0,5974.06982421875,0.007287273468533639,-0.016465086501974757,0.0084414594811241,1.0,4.59,0.015486725663716783,0.04555808656036442,0.013641407763706093,1.0,4.3,0.0,0.0117647058823529,0.012448122173024732,1.0,1445.4200439453125,0.005544605408306591,0.0076475953479417935,0.0063944547043752655,1.0,16.780000686645508,-0.08605663786390261,0.14227373491917228,0.1858332992816041,1.0
2024-12-26,2449.52,2449.52,2428.82,2429.67,322365189,0.0036877386786422495,1.0,-0.008103628465985113,0.0,-0.0006101531115761949,0.015747769481937457,-0.013046351906663922,0.01124222060313973,0.010203321973331514,-0.006630549370932215,0.015152499375364514,-0.0003637245392823507,0.009380273301790032,0.012821406683379454,-0.006784576371962836,-0.031678014251932285,0.01432713411042715,-0.005949995275195352,-0.08648472620968206,0.011790349983395801,-0.0327689359871739,0.0034971191764161524,-0.004092958723551976,0.008366059107046997,3.0,12.0,20031.130859375,0.013470862885252899,-0.0038753519747152243,0.011651684550317237,2.0,5173.56005859375,0.010707703754578857,0.0007292403565259953,0.020834096290933548,2.0,6040.0400390625,0.01104275925539211,-0.0017469022887913743,0.008772933828230436,2.0,4.59,0.0,0.04318181818181799,0.011108813608861517,2.0,4.29,-0.0023255813953487747,0.009411764705882453,0.00917809965079967,2.0,1453.4200439453125,0.0074305767909188525,0.011834978265345963,0.0063367175499639185,1.0,14.270000457763672,-0.14958284422952606,-0.10081912031085338,0.18916656828402367,2.0
2024-12-27,2419.46,2423.86,2388.33,2404.77,310847886,-0.004202216761947097,0.0,-0.006071602754333605,0.0,-0.004445773851474266,-0.0006101531115761949,0.015747769481937457,-0.019521580402748318,0.01621692439334943,-0.022041273048546306,0.013450986712906248,-0.00032339610344711556,-0.005256887382242059,0.01248657798167808,-0.010683222125267844,-0.029320112182688374,0.014289730854838397,-0.008887974240640695,-0.08306727350949894,0.011764216910640158,-0.03566697679895181,0.0036877386786422495,-0.008103628465985113,0.008481798960877116,4.0,12.0,20020.359375,-0.0005377372076803555,0.03236631635813958,0.011637244062159127,1.0,5175.31005859375,0.00033825837144640936,0.04110458680739493,0.020573929286362244,1.0,6037.58984375,-0.00040565878647391695,0.02817186232972979,0.008686619012210467,1.0,4.58,-0.002178649237472685,0.017777777777777892,0.011153407342297398,1.0,4.3,0.002331002331002363,-0.011494252873563204,0.009179780362680636,1.0,1457.6099853515625,0.002882815207967182,0.00420942841995342,0.006123629113172262,1.0,14.729999542236328,0.03223539381334706,-0.4666908365436109,0.18889702719800405,1.0
2024-12-30,2397.49,2429.75,2390.44,2399.49,303587373,-0.003027316541706737,0.0,0.0008342057735382102,1.0,-0.010248305325414653,-0.004445773851474266,-0.0006101531115761949,-0.013046351906663922,0.004971556572607394,-0.012791828993443888,0.011309269516537017,-0.008024835988753365,-0.031162876895556968,0.01130906798918257,-0.017728329545472987,-0.039885493897399704,0.014415163947608646,-0.017042355220096228,-0.07268815048182409,0.011530411382919567,-0.04435814365207347,-0.004202216761947097,-0.006071602754333605,0.014623385068754274,0.0,12.0,19722.029296875,-0.014901334813076983,0.01802838592910594,0.012130421722405561,3.0,5122.97021484375,-0.010113373528816583,0.04689923304403476,0.020375320710069745,3.0,5970.83984375,-0.011055736101235558,0.01768507745647807,0.00900667621205217,3.0,4.62,0.008733624454148492,0.010940919037199182,0.010644641876854074,3.0,4.31,0.0023255813953488857,-0.0023148148148149916,0.009078302237461639,3.0,1466.989990234375,0.006435195269707261,0.020550307882662322,0.006185132511790571,3.0,15.949999809265137,0.08282418906603617,-0.337899555490385,0.189452904212407,3.0
2025-01-02,2400.87,2410.99,2386.84,2398.94,350335524,0.000575122213470447,1.0,-0.0008038752618841905,0.0,-0.0021956361731060303,-0.010248305325414653,-0.004445773851474266,0.015747769481937457,-0.0022008771437506125,-0.0019383149969844915,0.009712930115250403,-0.00982217578401623,-0.0380723683683043,0.010962256265434152,-0.016068151762740124,-0.022973154553709296,0.013814326140933923,-0.018068314002559815,-0.0633175755067944,0.0114408760020872,-0.04543090218990886,-0.003027316541706737,0.0008342057735382102,0.01634667764484751,3.0,1.0,19310.7890625,-0.00903175989823235,-0.022974679185056246,0.012397827415496832,2.0,4979.93017578125,-0.009266785904266217,-0.02711986797924293,0.019971461140798903,2.0,5881.6298828125,-0.004284800394927402,-0.015473528787946278,0.009180178282027126,2.0,4.58,0.00659340659340657,-0.002178649237472685,0.010514665222050636,2.0,4.25,0.002358490566037652,-0.011627906976744096,0.009058159761203869,2.0,1467.3900146484375,-0.003673298479309639,0.017113789639007893,0.006321119198882729,2.0,17.350000381469727,-0.002873519434293592,0.03396899115015284,0.1894296670671325,2.0
2025-01-03,2402.58,2454.67,2402.58,2441.92,407037841,0.0015173368237637597,1.0,0.0163740645472783,1.0,-0.00022921537493370003,-0.0021956361731060303,-0.010248305325414653,-0.0006101531115761949,-0.012921007485023894,-0.01763711041314331,0.00409799430079342,-0.0065176392048960086,-0.03617158905089246,0.011012229929093963,-0.01264862088380636,-0.022628010821029276,0.013815208683271851,-0.017176489241213733,-0.06645496962692288,0.011428405568698499,-0.04456790010367029,0.000575122213470447,-0.0008038752618841905,0.010064638735731192,4.0,1.0,19280.7890625,-0.001553535689448271,-0.037458783637461135,0.012362362246162632,1.0,5021.5,0.008347471300082843,-0.029391764446836666,0.02005184454235694,1.0,5868.5498046875,-0.0022238866412221947,-0.028392234698102703,0.009172092132313693,1.0,4.57,-0.0021834061135370675,-0.004357298474945481,0.010546168412208562,1.0,4.25,0.0,-0.009324009324009341,0.009058159761203869,1.0,1473.52001953125,0.0041774884806484724,0.013829433321544071,0.006217775429952358,1.0,17.93000030517578,0.03342938968033171,0.2564821114228393,0.18930637413595286,1.0
2025-01-06,2453.3,2489.1,2446.82,2488.64,302503992,0.004660267330625079,1.0,0.014405087025638919,1.0,0.017916246342134512,-0.00022921537493370003,-0.0021956361731060303,-0.004445773851474266,0.01124222060313973,0.0005736482389000486,0.010612855007342496,0.01116458340062243,-0.006060704735001865,0.012354950926327126,0.0056573166025790655,-0.023271069157233648,0.013765790422093895,0.0016257468088540783,-0.06453466545100717,0.01148385168307878,-0.026361404265171307,0.0015173368237637597,0.0163740645472783,0.02171375690930167,0.0,1.0,19621.6796875,0.017680325421069565,-0.019913712837634767,0.012667979760857543,3.0,5163.64990234375,0.028308254972368774,-0.002253035299911721,0.020701264756432417,3.0,5942.47021484375,0.01259602672149196,-0.01575456951662857,0.009563333723370142,3.0,4.6,0.006564551422319376,0.004366812227074135,0.010074109418685305,3.0,4.28,0.007058823529411784,-0.0046511627906975495,0.00879580028375557,3.0,1471.6500244140625,-0.0012690666515561277,0.009632233041483751,0.006234831569183423,3.0,16.1299991607666,-0.10039046925668937,0.09504410468689839,0.1914693895261606,3.0
